Year,Management_Fee_USD,Fund_Expenses_USD,Legal_USD,Audit_USD,Admin_USD,Travel_USD,Total_Expense_USD,Net_Available_for_Investment
2024,4000000,850000,280000,120000,180000,270000,4850000,195150000
2025,4000000,920000,310000,125000,195000,290000,4920000,190230000
2026,4000000,940000,295000,130000,200000,315000,4940000,185290000
2027,4000000,960000,300000,130000,205000,325000,4960000,180330000
2028,4000000,980000,310000,135000,210000,325000,4980000,175350000
2029,3000000,850000,280000,125000,175000,270000,3850000,171500000
2030,3000000,820000,260000,120000,170000,270000,3820000,167680000
2031,3000000,790000,250000,115000,165000,260000,3790000,163890000
2032,3000000,760000,240000,110000,160000,250000,3760000,160130000
2033,3000000,740000,230000,110000,155000,245000,3740000,156390000
2034,1500000,400000,120000,60000,90000,130000,1900000,154490000
