Month,ARR,MRR,Customers,ACV,NRR,Headcount,Burn,Runway_Months,New_Logos,Churned_Logos
2025-05,3800000,316666,32,118750,112,58,620000,35,3,0
2025-06,4400000,366666,34,129411,113,62,660000,34,3,1
2025-07,5000000,416666,36,138888,114,65,690000,33,3,0
2025-08,5700000,475000,38,150000,115,68,720000,33,2,0
2025-09,6200000,516666,39,158974,116,70,750000,32,2,1
2025-10,6800000,566666,41,165853,116,72,770000,31,2,0
2025-11,7400000,616666,43,172093,117,74,790000,31,2,0
2025-12,7800000,650000,44,177272,117,76,800000,31,1,0
2026-01,8100000,675000,44,184090,118,77,810000,31,1,1
2026-02,8300000,691666,45,184444,118,77,815000,30,1,0
2026-03,8400000,700000,45,186666,118,78,820000,30,0,0
2026-04,8500000,708333,45,188888,118,78,820000,30,1,1
